"","Reason_for_absence","Month_of_absence","Day_of_the_week","Seasons","Transportation_expense","Distance_from_Residence_to_Work","Service_time","Age","Work_load_Average_per_day","Hit_target","Disciplinary_failure","Education","Son","Social_drinker","Social_smoker","Pet","Weight","Height","Body_mass_index","Absenteeism_time_in_hours","Prediction"
"1",23,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,2,3.92469078279281
"2",23,7,6,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,4,5.69379135067801
"3",19,7,2,1,155,12,14,34,239554,97,0,1,2,1,0,0,95,196,25,40,17.2023286437419
"4",22,7,2,1,235,11,14,37,239554,97,0,3,1,0,0,1,88,172,29,8,7.05204512154512
"5",11,7,4,1,260,50,11,36,239554,97,0,1,4,1,0,0,65,168,23,8,8.06834544915951
"6",11,7,4,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,1,7.33282064654671
"7",21,7,2,1,179,51,18,38,239554,97,0,1,0,1,0,0,89,170,31,8,6.4150949629463
"8",23,8,4,1,248,25,14,47,205917,92,0,1,2,0,0,1,86,165,32,2,2.72901479739215
"9",13,8,2,1,361,52,3,28,205917,92,0,1,1,1,0,4,80,172,27,40,11.0454206349206
"10",23,8,3,1,289,36,13,33,205917,92,0,1,2,1,0,1,90,172,30,1,6.59029429785213
"11",23,8,6,1,179,51,18,38,205917,92,0,1,0,1,0,0,89,170,31,2,3.05779201859321
"12",28,8,6,1,235,29,12,48,205917,92,0,1,1,0,1,5,88,163,33,8,5.3066257243354
"13",0,9,3,4,289,36,13,33,241476,92,1,1,2,1,0,1,90,172,30,0,5.00698370629371
"14",23,9,6,4,179,51,18,38,241476,92,0,1,0,1,0,0,89,170,31,3,3.12089116628053
"15",23,9,6,4,260,50,11,36,241476,92,0,1,4,1,0,0,65,168,23,4,5.73710659384326
"16",28,10,3,4,225,26,9,28,253465,93,0,1,1,0,0,2,69,169,24,2,2.86609670199042
"17",14,11,2,4,291,31,12,40,306345,93,0,1,1,1,0,1,73,171,25,40,14.1531098817849
"18",28,11,2,4,248,25,14,47,306345,93,0,1,2,0,0,1,86,165,32,1,4.97928764961501
"19",23,11,5,4,291,31,12,40,306345,93,0,1,1,1,0,1,73,171,25,3,3.17874564071747
"20",23,12,3,4,248,25,14,47,261306,97,0,1,2,0,0,1,86,165,32,1,3.59253044538133
"21",26,12,4,4,235,11,14,37,261306,97,0,3,1,0,0,1,88,172,29,8,3.55111393573746
"22",27,1,2,2,118,10,10,37,308593,95,0,1,0,0,0,0,83,172,28,0,3.57210426371709
"23",1,2,4,2,246,25,16,41,302585,99,0,1,0,1,0,0,67,170,23,8,8.89469057356615
"24",11,2,4,2,179,51,18,38,302585,99,0,1,0,1,0,0,89,170,31,8,8.48223764140197
"25",28,2,6,2,260,50,11,36,302585,99,0,1,4,1,0,0,65,168,23,2,7.0367990285179
"26",23,2,3,2,225,26,9,28,302585,99,0,1,1,0,0,2,69,169,24,2,2.91947051329491
"27",13,3,6,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,23,40,16.6227425164713
"28",28,3,6,2,260,50,11,36,343253,95,0,1,4,1,0,0,65,168,23,4,10.279999038312
"29",23,3,6,2,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,24,1,2.92948299529945
"30",11,3,2,3,225,26,9,28,343253,95,0,1,1,0,0,2,69,169,24,8,8.54948216173992
"31",28,4,3,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,1,5.35540500606832
"32",13,4,4,3,246,25,16,41,326452,96,0,1,0,1,0,0,67,170,23,24,10.8110362936356
"33",28,4,6,3,225,26,9,28,326452,96,0,1,1,0,0,2,69,169,24,2,2.60880259247839
"34",23,4,5,3,118,13,18,50,326452,96,0,1,1,1,0,0,98,178,31,1,7.38072117532796
"35",23,4,6,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,3,3.3172483768829
"36",28,4,6,3,291,31,12,40,326452,96,0,1,1,1,0,1,73,171,25,1,3.01933593932046
"37",12,4,4,3,155,12,14,34,326452,96,0,1,2,1,0,0,95,196,25,24,13.2400781645607
"38",7,4,6,3,235,11,14,37,326452,96,0,3,1,0,0,1,88,172,29,3,10.2780567821068
"39",28,5,5,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,2,3.91257532786122
"40",28,5,2,3,155,12,14,34,378884,92,0,1,2,1,0,0,95,196,25,1,5.27734324136244
"41",19,5,3,3,225,26,9,28,378884,92,0,1,1,0,0,2,69,169,24,8,8.07674271083994
"42",7,5,4,3,184,42,7,27,378884,92,0,1,0,0,0,0,58,167,21,4,9.06981543086563
"43",13,5,4,3,289,36,13,33,378884,92,0,1,2,1,0,1,90,172,30,24,9.9985063020313
"44",13,5,4,3,118,13,18,50,378884,92,0,1,1,1,0,0,98,178,31,24,11.7876713276333
"45",10,6,3,3,246,25,16,41,377550,94,0,1,0,1,0,0,67,170,23,24,8.22280960043628
"46",23,6,3,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,1,5.22545736275164
"47",13,6,4,3,118,13,18,50,377550,94,0,1,1,1,0,0,98,178,31,80,12.2077258730878
"48",28,6,2,1,289,48,29,49,377550,94,0,1,0,0,0,2,108,172,36,2,6.33042737709548
"49",28,6,5,1,225,26,9,28,377550,94,0,1,1,0,0,2,69,169,24,2,3.75618028418972
"50",26,7,6,1,118,10,10,37,275312,98,0,1,0,0,0,0,83,172,28,4,5.7403667047193
"51",26,7,3,1,330,16,4,28,275312,98,0,2,0,0,0,0,84,182,25,8,5.84913644821362
"52",25,7,2,1,157,27,6,29,275312,98,0,1,0,1,1,0,75,185,22,3,6.82812151440063
"53",26,7,4,1,289,36,13,33,275312,98,0,1,2,1,0,1,90,172,30,8,7.90939112942613
"54",19,7,5,1,289,36,13,33,275312,98,0,1,2,1,0,1,90,172,30,8,12.2777935103785
"55",19,8,6,1,157,27,6,29,265615,94,0,1,0,1,1,0,75,185,22,3,9.16969324442583
"56",23,8,2,1,289,36,13,33,265615,94,0,1,2,1,0,1,90,172,30,1,7.19108101668885
"57",18,8,3,1,228,14,16,58,265615,94,0,1,2,0,0,1,65,172,22,8,31.0709024531025
"58",14,8,5,1,300,26,13,43,265615,94,0,1,2,1,1,1,77,175,25,2,9.6080107975358
"59",23,8,3,1,289,36,13,33,265615,94,0,1,2,1,0,1,90,172,30,4,6.45366168601952
"60",23,8,4,1,248,25,14,47,265615,94,0,1,2,0,0,1,86,165,32,1,2.54431962034697
"61",11,9,2,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,8,8.07200507091493
"62",23,9,6,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,3,3.16600388874271
"63",0,9,3,1,231,35,14,39,294217,81,1,1,2,1,0,2,100,170,35,0,7.78074159174159
"64",13,9,4,1,179,51,18,38,294217,81,0,1,0,1,0,0,89,170,31,8,7.53500703800893
"65",9,9,4,1,246,25,16,41,294217,81,0,1,0,1,0,0,67,170,23,32,10.9155809901671
"66",28,9,6,1,291,31,12,40,294217,81,0,1,1,1,0,1,73,171,25,4,5.06752100973054
"67",28,9,6,1,260,50,11,36,294217,81,0,1,4,1,0,0,65,168,23,4,6.44373913155211
"68",28,9,5,4,118,13,18,50,294217,81,0,1,1,1,0,0,98,178,31,1,4.31544918759347
"69",0,9,5,4,235,20,13,43,294217,81,1,1,1,1,0,0,106,167,38,0,4.44986803519062
"70",26,10,2,4,235,11,14,37,265017,88,0,3,1,0,0,1,88,172,29,4,4.01798639138639
"71",26,10,2,4,289,36,13,33,265017,88,0,1,2,1,0,1,90,172,30,8,7.56464151459934
"72",0,10,6,4,118,13,18,50,265017,88,1,1,1,1,0,0,98,178,31,0,3.56592197698391
"73",7,10,2,4,118,10,10,37,265017,88,0,1,0,0,0,0,83,172,28,3,7.87802477644347
"74",1,10,4,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,19,64,7.26189967912932
"75",0,10,4,4,235,20,13,43,265017,88,1,1,1,1,0,0,106,167,38,0,2.30796632578891
"76",19,10,5,4,289,36,13,33,265017,88,0,1,2,1,0,1,90,172,30,16,8.73048084741368
"77",23,10,2,4,235,20,13,43,265017,88,0,1,1,1,0,0,106,167,38,2,5.17281882561882
"78",28,10,5,4,118,13,18,50,265017,88,0,1,1,1,0,0,98,178,31,1,2.51320505394934
"79",0,10,3,4,291,31,12,40,265017,88,1,1,1,1,0,1,73,171,25,0,4.0637449483523
"80",1,10,4,4,179,26,9,30,265017,88,0,3,0,0,0,0,56,171,19,5,7.26189967912932
"81",1,11,2,4,378,49,11,36,284031,97,0,1,2,0,1,4,65,174,21,8,16.1061038579068
"82",0,11,6,4,378,49,11,36,284031,97,1,1,2,0,1,4,65,174,21,0,11.0646657626687
"83",28,12,2,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,1,2.59712967802667
"84",23,12,3,4,179,26,9,30,236629,93,0,3,0,0,0,0,56,171,19,1,5.48639858331567
"85",25,12,3,4,118,10,10,37,236629,93,0,1,0,0,0,0,83,172,28,8,5.2588509642483
"86",28,12,6,4,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,1,1.92182050152972
"87",14,12,3,2,235,11,14,37,236629,93,0,3,1,0,0,1,88,172,29,4,9.09121378066378
"88",26,12,4,2,260,50,11,36,236629,93,0,1,4,1,0,0,65,168,23,8,6.37301500182906
"89",28,12,2,2,157,27,6,29,236629,93,0,1,0,1,1,0,75,185,22,2,8.74153528951441
"90",28,12,2,2,179,51,18,38,236629,93,0,1,0,1,0,0,89,170,31,3,3.24658850135364
"91",23,1,2,2,155,12,14,34,330061,100,0,1,2,1,0,0,95,196,25,2,8.22200936127855
"92",13,1,3,2,235,11,14,37,330061,100,0,3,1,0,0,1,88,172,29,1,13.1157194083694
"93",28,2,3,2,118,10,10,37,251818,96,0,1,0,0,0,0,83,172,28,2,3.13256603429945
"94",27,2,6,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3,2.91753029676908
"95",10,2,6,2,246,25,16,41,251818,96,0,1,0,1,0,0,67,170,23,24,8.37468278135836
"96",27,2,6,2,179,51,18,38,251818,96,0,1,0,1,0,0,89,170,31,3,2.91753029676908
"97",18,3,3,2,118,10,10,37,244387,98,0,1,0,0,0,0,83,172,28,8,7.40965392132107
"98",23,3,6,3,118,13,18,50,244387,98,0,1,1,1,0,0,98,178,31,2,7.63402587449353
"99",28,3,6,3,179,51,18,38,244387,98,0,1,0,1,0,0,89,170,31,8,4.42141507332662
"100",28,4,6,3,260,50,11,36,239409,98,0,1,4,1,0,0,65,168,23,3,5.29538852390151
"101",23,4,4,3,330,16,4,28,239409,98,0,2,0,0,0,0,84,182,25,8,5.21274185114403
"102",28,4,6,3,300,26,13,43,239409,98,0,1,2,1,1,1,77,175,25,8,15.2308931453177
"103",28,5,4,3,179,51,18,38,246074,99,0,1,0,1,0,0,89,170,31,4,4.3910455809967
"104",23,5,5,3,361,52,3,28,246074,99,0,1,1,1,0,4,80,172,27,1,4.84758523587232
"105",28,5,6,3,260,50,11,36,246074,99,0,1,4,1,0,0,65,168,23,3,5.62819098385985
"106",1,5,2,3,235,11,14,37,246074,99,0,3,1,0,0,1,88,172,29,8,8.97323614718614
"107",28,6,2,3,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,3,3.69846566015986
"108",28,6,6,3,260,50,11,36,253957,95,0,1,4,1,0,0,65,168,23,4,6.31213058739357
"109",28,6,2,3,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,24,3.69846566015986
"110",23,6,4,1,118,13,18,50,253957,95,0,1,1,1,0,0,98,178,31,2,4.79659840080518
"111",5,6,4,1,179,51,18,38,253957,95,0,1,0,1,0,0,89,170,31,8,6.85617188908331
"112",21,6,4,1,179,26,9,30,253957,95,0,3,0,0,0,0,56,171,19,2,4.94861533325056
"113",26,7,2,1,260,50,11,36,230290,92,0,1,4,1,0,0,65,168,23,4,8.3786918867682
"114",28,7,3,1,118,10,10,37,230290,92,0,1,0,0,0,0,83,172,28,8,4.55447642706572
"115",22,7,6,1,361,52,3,28,230290,92,0,1,1,1,0,4,80,172,27,8,10.4002336940837
"116",26,7,2,1,235,20,13,43,230290,92,0,1,1,1,0,0,106,167,38,8,7.28033527583527
"117",25,8,5,1,179,51,18,38,249797,93,0,1,0,1,0,0,89,170,31,4,3.48054435180579
"118",28,8,3,1,118,10,10,37,249797,93,0,1,0,0,0,0,83,172,28,4,3.22807868635327
"119",26,8,3,1,289,36,13,33,249797,93,0,1,2,1,0,1,90,172,30,8,6.65102993998777
"120",23,8,5,1,330,16,4,28,249797,93,0,2,0,0,0,0,84,182,25,16,5.11919279741997
"121",28,8,3,1,118,10,10,37,249797,93,0,1,0,0,0,0,83,172,28,5,3.22807868635327
"122",28,8,2,1,260,50,11,36,249797,93,0,1,4,1,0,0,65,168,23,3,6.51084383482015
"123",28,9,3,1,246,25,16,41,261756,87,0,1,0,1,0,0,67,170,23,1,2.29013595917535
"124",22,9,3,4,361,52,3,28,261756,87,0,1,1,1,0,4,80,172,27,8,6.74336002886003
"125",23,10,5,4,289,48,29,49,284853,91,0,1,0,0,0,2,108,172,36,2,3.98870589994048
"126",23,10,3,4,225,26,9,28,284853,91,0,1,1,0,0,2,69,169,24,2,3.50800578576784
"127",28,10,4,4,179,51,18,38,284853,91,0,1,0,1,0,0,89,170,31,3,2.61532856147864
"128",10,10,6,4,225,26,9,28,284853,91,0,1,1,0,0,2,69,169,24,3,4.65035608821534
"129",2,11,4,4,330,16,4,28,268519,93,0,2,0,0,0,0,84,182,25,24,5.51452063492064
"130",28,11,6,4,179,51,18,38,268519,93,0,1,0,1,0,0,89,170,31,1,2.12981386671096
"131",9,11,3,4,118,10,10,37,268519,93,0,1,0,0,0,0,83,172,28,8,7.64771053026653
"132",22,11,3,4,361,52,3,28,268519,93,0,1,1,1,0,4,80,172,27,8,6.03171334776335
"133",14,11,5,4,225,26,9,28,268519,93,0,1,1,0,0,2,69,169,24,3,3.84398098860759
"134",28,11,2,4,179,51,18,38,268519,93,0,1,0,1,0,0,89,170,31,1,2.8164588820914
"135",14,11,5,4,248,25,14,47,268519,93,0,1,2,0,0,1,86,165,32,4,4.43184607722343
"136",23,12,4,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,24,3,2.72859469147391
"137",18,12,2,4,233,51,1,31,280549,98,0,2,1,1,0,8,68,178,21,8,8.37759677332471
"138",23,12,2,4,225,26,9,28,280549,98,0,1,1,0,0,2,69,169,24,2,3.11878643691628
"139",25,1,4,2,179,22,17,40,313532,96,0,2,2,0,1,0,63,170,22,2,3.59398518736116
"140",10,1,5,2,289,48,29,49,313532,96,0,1,0,0,0,2,108,172,36,8,8.31821765212844
"141",27,1,2,2,179,26,9,30,313532,96,0,3,0,0,0,0,56,171,19,2,4.87541431922201
"142",27,1,5,2,179,51,18,38,313532,96,0,1,0,1,0,0,89,170,31,3,3.34375846426639
"143",27,1,6,2,179,51,18,38,313532,96,0,1,0,1,0,0,89,170,31,2,3.13678660629019
"144",27,2,4,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2,2.73217193253137
"145",28,2,5,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,24,3,2.49477390027844
"146",28,2,6,2,225,15,15,41,264249,97,0,4,2,1,0,2,94,182,28,2,4.72604391324734
"147",19,2,2,2,233,51,1,31,264249,97,0,2,1,1,0,8,68,178,21,2,6.50359365079365
"148",13,2,5,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,8,7.4791116675327
"149",27,2,6,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2,2.66646085986259
"150",25,2,2,2,235,16,8,32,264249,97,0,3,0,0,0,0,75,178,25,3,3.49749512848618
"151",7,2,2,2,225,26,9,28,264249,97,0,1,1,0,0,2,69,169,24,2,8.28621649998074
"152",27,2,4,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2,2.73217193253137
"153",27,2,5,2,179,51,18,38,264249,97,0,1,0,1,0,0,89,170,31,2,2.70249437840045
"154",12,3,3,2,228,14,16,58,222196,99,0,1,2,0,0,1,65,172,22,112,26.6169079365079
"155",25,3,5,2,225,26,9,28,222196,99,0,1,1,0,0,2,69,169,24,2,3.85649178180843
"156",10,3,2,2,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,4,8.04654310028625
"157",7,3,2,2,225,26,9,28,222196,99,0,1,1,0,0,2,69,169,24,8,21.8177734874377
"158",23,3,4,2,289,36,13,33,222196,99,0,1,2,1,0,1,90,172,30,8,6.77369060739914
"159",25,3,4,2,228,14,16,58,222196,99,0,1,2,0,0,1,65,172,22,2,14.8255091741592
"160",23,3,5,2,248,25,14,47,222196,99,0,1,2,0,0,1,86,165,32,3,3.18619004959093
"161",27,3,4,3,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,3,3.17342280318902
"162",27,3,5,3,179,51,18,38,222196,99,0,1,0,1,0,0,89,170,31,3,3.18634436487805
"163",19,3,2,3,289,36,13,33,222196,99,0,1,2,1,0,1,90,172,30,104,13.051981003441
"164",10,4,2,3,118,10,10,37,246288,91,0,1,0,0,0,0,83,172,28,8,7.52026461177154
"165",19,4,4,3,248,25,14,47,246288,91,0,1,2,0,0,1,86,165,32,8,5.7399194455218
"166",13,4,5,3,189,29,13,33,246288,91,0,1,2,0,0,2,69,167,25,8,8.59100478410478
"167",23,4,3,3,118,13,18,50,246288,91,0,1,1,1,0,0,98,178,31,3,5.16773639899318
"168",10,4,4,3,118,10,10,37,246288,91,0,1,0,0,0,0,83,172,28,2,5.32133338744032
"169",16,4,3,3,235,16,8,32,246288,91,0,3,0,0,0,0,75,178,25,3,6.42842097069597
"170",22,5,2,3,235,11,14,37,237656,99,0,3,1,0,0,1,88,172,29,8,8.26824432789433
"171",26,5,4,3,235,20,13,43,237656,99,0,1,1,1,0,0,106,167,38,8,8.90779057713668
"172",14,5,5,3,225,15,15,41,237656,99,0,4,2,1,0,2,94,182,28,8,9.24390160427808
"173",27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2,2.56906190397551
"174",23,5,2,3,118,13,18,50,237656,99,0,1,1,1,0,0,98,178,31,2,8.80072509363188
"175",28,5,3,3,118,10,10,37,237656,99,0,1,0,0,0,0,83,172,28,1,3.44468354801262
"176",0,5,3,3,118,13,18,50,237656,99,1,1,1,1,0,0,98,178,31,0,14.6846126515871
"177",27,5,4,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2,2.51900650634596
"178",16,5,6,3,179,22,17,40,237656,99,0,2,2,0,1,0,63,170,22,1,7.21504537717135
"179",6,5,4,3,225,26,9,28,237656,99,0,1,1,0,0,2,69,169,24,3,10.8417309225561
"180",23,5,5,3,235,16,8,32,237656,99,0,3,0,0,0,0,75,178,25,2,3.57552647312193
"181",28,5,5,3,291,31,12,40,237656,99,0,1,1,1,0,1,73,171,25,2,3.34169549522724
"182",27,5,6,3,179,26,9,30,237656,99,0,3,0,0,0,0,56,171,19,2,2.56906190397551
"183",7,5,2,3,361,52,3,28,237656,99,0,1,1,1,0,4,80,172,27,8,11.7618801587302
"184",7,6,4,3,118,15,24,46,275089,96,0,1,2,1,1,0,75,175,25,8,12.0883127026147
"185",0,6,2,3,268,11,8,33,275089,96,1,2,0,0,0,0,79,178,25,0,4.94442380952381
"186",28,6,5,3,291,31,12,40,275089,96,0,1,1,1,0,1,73,171,25,2,3.5232592798688
"187",22,6,5,1,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,21,8,5.61520335809686
"188",8,6,6,1,118,10,10,37,275089,96,0,1,0,0,0,0,83,172,28,2,6.15709495098857
"189",22,6,4,1,233,51,1,31,275089,96,0,2,1,1,0,8,68,178,21,3,6.12492716762067
"190",22,7,4,1,225,26,9,28,264604,93,0,1,1,0,0,2,69,169,24,8,8.97793638195753
"191",13,7,2,1,369,17,12,31,264604,93,0,1,3,1,0,0,70,169,25,80,12.5843062215562
"192",0,0,6,3,179,45,14,53,271219,95,0,1,1,0,0,1,77,175,25,0,8.69021915964153
